V1,V2
PTTG1,1.098444218
SPANXC,1.097407756
NIPAL4,1.097189494
CST6,1.095983943
PNMT,1.09536787
TUBB3,1.094993603
CHRDL2,1.09296644
FEV,1.09268612
CARD17,1.092139262
EFCAB5,1.091320547
MYBPC3,1.09110803
KRT6A,1.09098386
FRMD1,1.090756447
MUC5B,1.088992108
SPC24,1.088782236
HSD17B6,1.088741036
ONECUT3,1.088613151
CAMKV,1.088561988
MCM10,1.088335177
ULBP1,1.086738775
TRARG1,1.086735949
WDR72,1.086329586
MAGEA9B,1.085583807
NCR2,1.085539145
REG4,1.084971511
BPIFB2,1.084854744
CLRN1,1.084779502
C17orf64,1.084773114
NPR1,1.084543722
SLC6A15,1.0844001
USP41,1.084363718
ITIH5,1.083484361
SLC7A5,1.082268535
DMBX1,1.081481777
CDCA8,1.081323732
SOX1,1.08109678
LIPG,1.080980047
RIIAD1,1.080605726
RFX4,1.080471871
CDCA5,1.080398591
ITPKA,1.080159249
AC020636.2,1.080068517
ELAVL4,1.079799992
IGFBPL1,1.079617592
MORC1,1.079494939
MTRNR2L8,1.079355641
C1orf167,1.079228207
AMER2,1.079111603
IQGAP3,1.078156258
KIFC1,1.078149482
AHSG,1.078029087
SIAH3,1.074793414
BTNL9,1.073781591
ZNF280A,1.073433164
FAM83D,1.07272753
KRT85,1.072090096
C1orf194,1.069882645
RYR1,1.069122867
ZNF560,1.069005829
RECQL4,1.068952427
CA7,1.06865454
EME1,1.068384031
SCN4B,1.06729365
TIMP4,1.067255295
GDAP1,1.066522507
SEC14L3,1.066481475
CIDEA,1.066429649
GRIN2D,1.066096117
DLX4,1.066044652
HES6,1.065898782
GSG1L,1.065646023
KRT37,1.065056084
TCP11,1.064978423
CDCA3,1.064759425
CTRB1,1.064212302
PSAPL1,1.063586956
C2CD4A,1.063312364
KISS1R,1.062850779
CACNA1B,1.062382879
NDC80,1.061882906
CAPN9,1.061012693
SLC36A2,1.060781974
ST18,1.060333658
UCP3,1.060191307
PTPRN2,1.059515719
STAC3,1.059161641
VGF,1.058420338
SNPH,1.058348536
TRIM54,1.058288882
NCCRP1,1.056657563
AURKB,1.05621199
DES,1.055279405
TERT,1.053981832
TMEM220,1.053757378
RAB26,1.05323141
LGALS12,1.053112812
IL17C,1.052734197
C11orf88,1.052464685
IGF2BP3,1.051985756
ZIC2,1.051083841
CEACAM7,1.050954945
OR1N2,1.049829477
ANLN,1.049767699
TEKT1,1.04869965
LINC00514,1.04777138
